# 韩国人名用汉字
# https://github.com/rutopio/Korean-Name-Hanja-Charset
# https://github.com/zispace/data-hanja
# https://hanja.dict.naver.com/#/category/name
#
# hanja	unicode	pua	consonant	hangul

徑	U+5F91	0	ㄱ	경
惸	U+60F8	0	ㄱ	경
慶	U+6176	0	ㄱ	경
憬	U+61AC	0	ㄱ	경
憼	U+61BC	0	ㄱ	경
扃	U+6243	0	ㄱ	경
挭	U+632D	0	ㄱ	경
擎	U+64CE	0	ㄱ	경
擏	U+64CF	0	ㄱ	경
敬	U+656C	0	ㄱ	경
景	U+666F	0	ㄱ	경
暻	U+66BB	0	ㄱ	경
曔	U+66D4	0	ㄱ	경
更	U+66F4	0	ㄱ	경
桱	U+6871	0	ㄱ	경
梗	U+6897	0	ㄱ	경
檠	U+6AA0	0	ㄱ	경
檾	U+6ABE	0	ㄱ	경
浭	U+6D6D	0	ㄱ	경
涇	U+6D87	0	ㄱ	경
滰	U+6EF0	0	ㄱ	경
漀	U+6F00	0	ㄱ	경
炅	U+7085	0	ㄱ	경
烱	U+70F1	0	ㄱ	경
烴	U+70F4	0	ㄱ	경
焭	U+712D	0	ㄱ	경
煢	U+7162	0	ㄱ	경
熲	U+71B2	0	ㄱ	경
燛	U+71DB	0	ㄱ	경
璄	U+7484	0	ㄱ	경
璚	U+749A	0	ㄱ	경
璟	U+749F	0	ㄱ	경
璥	U+74A5	0	ㄱ	경
瓊	U+74CA	0	ㄱ	경
畊	U+754A	0	ㄱ	경
痙	U+75D9	0	ㄱ	경
硬	U+786C	0	ㄱ	경
硻	U+787B	0	ㄱ	경
磬	U+78EC	0	ㄱ	경
竟	U+7ADF	0	ㄱ	경
競	U+7AF6	0	ㄱ	경
竸	U+7AF8	0	ㄱ	경
絅	U+7D45	0	ㄱ	경
綆	U+7D86	0	ㄱ	경
經	U+7D93	0	ㄱ	경
罄	U+7F44	0	ㄱ	경
耕	U+8015	0	ㄱ	경
耿	U+803F	0	ㄱ	경
脛	U+811B	0	ㄱ	경
苘	U+82D8	0	ㄱ	경
莖	U+8396	0	ㄱ	경
藑	U+85D1	0	ㄱ	경
褧	U+8927	0	ㄱ	경
誙	U+8A99	0	ㄱ	경
謦	U+8B26	0	ㄱ	경
警	U+8B66	0	ㄱ	경
輕	U+8F15	0	ㄱ	경
逕	U+9015	0	ㄱ	경
郠	U+90E0	0	ㄱ	경
鏡	U+93E1	0	ㄱ	경
鞕	U+9795	0	ㄱ	경
頃	U+9803	0	ㄱ	경
頸	U+9838	0	ㄱ	경
顈	U+9848	0	ㄱ	경
駉	U+99C9	0	ㄱ	경
驚	U+9A5A	0	ㄱ	경
鯁	U+9BC1	0	ㄱ	경
鯨	U+9BE8	0	ㄱ	경
鵛	U+9D5B	0	ㄱ	경
鶊	U+9D8A	0	ㄱ	경
麖	U+9E96	0	ㄱ	경
𠗊	U+205CA	0	ㄱ	경
卿	U+2F833	0	ㄱ	경
敬	U+2F8C9	0	ㄱ	경
係	U+4FC2	0	ㄱ	계
呇	U+5447	0	ㄱ	계
啓	U+5553	0	ㄱ	계
堦	U+5826	0	ㄱ	계
堺	U+583A	0	ㄱ	계
契	U+5951	0	ㄱ	계
季	U+5B63	0	ㄱ	계
屆	U+5C46	0	ㄱ	계
嵠	U+5D60	0	ㄱ	계
悸	U+60B8	0	ㄱ	계
戒	U+6212	0	ㄱ	계
挈	U+6308	0	ㄱ	계
桂	U+6842	0	ㄱ	계
械	U+68B0	0	ㄱ	계
棨	U+68E8	0	ㄱ	계
洎	U+6D0E	0	ㄱ	계
溎	U+6E8E	0	ㄱ	계
溪	U+6EAA	0	ㄱ	계
瀱	U+7031	0	ㄱ	계
烓	U+70D3	0	ㄱ	계
界	U+754C	0	ㄱ	계
瘈	U+7608	0	ㄱ	계
癸	U+7678	0	ㄱ	계
磎	U+78CE	0	ㄱ	계
禊	U+798A	0	ㄱ	계
系	U+7CFB	0	ㄱ	계
綮	U+7DAE	0	ㄱ	계
縘	U+7E18	0	ㄱ	계
繫	U+7E6B	0	ㄱ	계
繼	U+7E7C	0	ㄱ	계
罽	U+7F7D	0	ㄱ	계
薊	U+858A	0	ㄱ	계
計	U+8A08	0	ㄱ	계
誡	U+8AA1	0	ㄱ	계
谿	U+8C3F	0	ㄱ	계
階	U+968E	0	ㄱ	계
雞	U+96DE	0	ㄱ	계
髻	U+9AFB	0	ㄱ	계
鷄	U+9DC4	0	ㄱ	계
𥡴	U+25874	0	ㄱ	계
估	U+4F30	0	ㄱ	고
凅	U+51C5	0	ㄱ	고
刳	U+5233	0	ㄱ	고
古	U+53E4	0	ㄱ	고
叩	U+53E9	0	ㄱ	고
告	U+544A	0	ㄱ	고
呱	U+5471	0	ㄱ	고
固	U+56FA	0	ㄱ	고
夰	U+5930	0	ㄱ	고
姑	U+59D1	0	ㄱ	고
婟	U+5A5F	0	ㄱ	고
孤	U+5B64	0	ㄱ	고
尻	U+5C3B	0	ㄱ	고
崓	U+5D13	0	ㄱ	고
庫	U+5EAB	0	ㄱ	고
拷	U+62F7	0	ㄱ	고
攷	U+6537	0	ㄱ	고
故	U+6545	0	ㄱ	고
敲	U+6572	0	ㄱ	고
暠	U+66A0	0	ㄱ	고
杲	U+6772	0	ㄱ	고
枯	U+67AF	0	ㄱ	고
栲	U+6832	0	ㄱ	고
槀	U+69C0	0	ㄱ	고
槁	U+69C1	0	ㄱ	고
橭	U+6A6D	0	ㄱ	고
櫜	U+6ADC	0	ㄱ	고
沽	U+6CBD	0	ㄱ	고
牯	U+726F	0	ㄱ	고
痼	U+75FC	0	ㄱ	고
皋	U+768B	0	ㄱ	고
皐	U+7690	0	ㄱ	고
盬	U+76EC	0	ㄱ	고
睾	U+777E	0	ㄱ	고
瞽	U+77BD	0	ㄱ	고
稁	U+7A01	0	ㄱ	고
稿	U+7A3F	0	ㄱ	고
箍	U+7B8D	0	ㄱ	고
篙	U+7BD9	0	ㄱ	고
糕	U+7CD5	0	ㄱ	고
罟	U+7F5F	0	ㄱ	고
羔	U+7F94	0	ㄱ	고
羖	U+7F96	0	ㄱ	고
翺	U+7FFA	0	ㄱ	고
考	U+8003	0	ㄱ	고
股	U+80A1	0	ㄱ	고
胯	U+80EF	0	ㄱ	고
膏	U+818F	0	ㄱ	고
苦	U+82E6	0	ㄱ	고
苽	U+82FD	0	ㄱ	고
菰	U+83F0	0	ㄱ	고
藁	U+85C1	0	ㄱ	고
蠱	U+8831	0	ㄱ	고
袴	U+88B4	0	ㄱ	고
觚	U+89DA	0	ㄱ	고
詁	U+8A41	0	ㄱ	고
誥	U+8AA5	0	ㄱ	고
賈	U+8CC8	0	ㄱ	고
辜	U+8F9C	0	ㄱ	고
郜	U+90DC	0	ㄱ	고
酤	U+9164	0	ㄱ	고
鈷	U+9237	0	ㄱ	고
錮	U+932E	0	ㄱ	고
雇	U+96C7	0	ㄱ	고
靠	U+9760	0	ㄱ	고
顧	U+9867	0	ㄱ	고
高	U+9AD8	0	ㄱ	고
鴣	U+9D23	0	ㄱ	고
鷱	U+9DF1	0	ㄱ	고
鼓	U+9F13	0	ㄱ	고
鼔	U+9F14	0	ㄱ	고
苦	U+2F996	0	ㄱ	고
哭	U+54ED	0	ㄱ	곡
嚳	U+56B3	0	ㄱ	곡
峼	U+5CFC	0	ㄱ	곡
斛	U+659B	0	ㄱ	곡
曲	U+66F2	0	ㄱ	곡
梏	U+688F	0	ㄱ	곡
槲	U+69F2	0	ㄱ	곡
穀	U+7A40	0	ㄱ	곡
縠	U+7E20	0	ㄱ	곡
觳	U+89F3	0	ㄱ	곡
谷	U+8C37	0	ㄱ	곡
轂	U+8F42	0	ㄱ	곡
鵠	U+9D60	0	ㄱ	곡
丨	U+4E28	0	ㄱ	곤
困	U+56F0	0	ㄱ	곤
坤	U+5764	0	ㄱ	곤
堃	U+5803	0	ㄱ	곤
崐	U+5D10	0	ㄱ	곤
崑	U+5D11	0	ㄱ	곤
悃	U+6083	0	ㄱ	곤
捆	U+6346	0	ㄱ	곤
昆	U+6606	0	ㄱ	곤
梱	U+68B1	0	ㄱ	곤
棍	U+68CD	0	ㄱ	곤
滾	U+6EFE	0	ㄱ	곤
琨	U+7428	0	ㄱ	곤
璭	U+74AD	0	ㄱ	곤
緄	U+7DC4	0	ㄱ	곤
衮	U+886E	0	ㄱ	곤
袞	U+889E	0	ㄱ	곤
裍	U+88CD	0	ㄱ	곤
褌	U+890C	0	ㄱ	곤
錕	U+9315	0	ㄱ	곤
閫	U+95AB	0	ㄱ	곤
髡	U+9AE1	0	ㄱ	곤
鯤	U+9BE4	0	ㄱ	곤
鵾	U+9D7E	0	ㄱ	곤
鶤	U+9DA4	0	ㄱ	곤
齫	U+9F6B	0	ㄱ	곤
搰	U+6430	0	ㄱ	골
榾	U+69BE	0	ㄱ	골
汨	U+6C68	0	ㄱ	골
汩	U+6C69	0	ㄱ	골
滑	U+6ED1	0	ㄱ	골
骨	U+9AA8	0	ㄱ	골
鶻	U+9DBB	0	ㄱ	골
供	U+4F9B	0	ㄱ	공
倥	U+5025	0	ㄱ	공
公	U+516C	0	ㄱ	공
共	U+5171	0	ㄱ	공
功	U+529F	0	ㄱ	공
孔	U+5B54	0	ㄱ	공
崆	U+5D06	0	ㄱ	공
工	U+5DE5	0	ㄱ	공
廾	U+5EFE	0	ㄱ	공
恐	U+6050	0	ㄱ	공
恭	U+606D	0	ㄱ	공
拱	U+62F1	0	ㄱ	공
控	U+63A7	0	ㄱ	공
攻	U+653B	0	ㄱ	공
栱	U+6831	0	ㄱ	공
槓	U+69D3	0	ㄱ	공
灨	U+7068	0	ㄱ	공
珙	U+73D9	0	ㄱ	공
