# 常用标准汉喃字表（2022年版）
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# 共5524个标准汉喃字（其中3993常用字，适合中小学学习，分为6级，即1、2、3、4、5、T，分别有235、354、468、470、480、1986字，对应小学1-5年级和中学）
# http://www.hannom-rcv.org/Lookup-CHNC.html
# http://www.hannom-rcv.org/BCHNCTD.html
# 𡨸漢喃	音讀	級度	𥱬註	譬喻

莊	TRANG	4		莊重 trang trọng · 康莊 khang trang · 莊雅 trang nhã · 義莊 nghĩa trang · 莊𰨂 trang thờ
粧	TRANG	T		化粧 hoá trang · 粧飾 trang sức · 粧點 trang điểm
裝	TRANG	4		服裝 phục trang · 軍裝 quân trang · 假裝 giả trang · 裝飾 trang sức
𢬂	trang	T		𢬂𱱇 trang trải · 𢬂𥟉 trang thóc · 丐𢬂 cái trang
壯	TRÁNG	5		壯麗 tráng lệ · 強壯 cường tráng · 壯健 tráng kiện
𣴣	tráng	T		𣴣𠰘 tráng miệng · 紙𣴣金 giấy tráng kim
長	TRÀNG	1		長籺 tràng hạt · 長花 tràng hoa · 長樂 tràng nhạc
腸	TRÀNG	T		大腸 đại tràng
撞	tràng			𡥵馭尼𧼋咍撞 con ngựa này chạy hay trang
𧛇	tràng			𧛇襖 tràng áo
狀	TRẠNG	2		情狀 tình trạng · 告狀 cáo trạng · 事狀 sự trạng
𦝄	trăng	T		𦝄嫩 trăng non · 𦝄清 trăng thanh · 𦝄缺 trăng khuyết · 𦝄花 trăng hoa
𤽸	trắng	3		𩚵𤽸 cơm trắng · 𤽸𤽀 trắng trẻo
爭	TRANH	2		鬥爭 đấu tranh · 爭𨅮 tranh đua · 紛爭 phân tranh
崢（峥）	tranh		崢儝 tranh vanh ⇔ 崢儝 chênh vênh	崢儝 tranh vanh
幀	tranh	5		幀影 tranh ảnh · 幅幀 bức tranh · 幀𦘧 tranh vẽ
𦱊	tranh	T		𦹯𦱊 cỏ tranh · 茹𦱊 nhà tranh
𠬉	tránh	4		𠬉迡 tránh né · 𠬉𠺌 tránh khỏi · 遁𠬉 trốn tránh
𢭂	trao	3		𢭂𢷮 trao đổi · 𢭂𢬣 trao tay
𥋽	tráo			𥋽𥉲 tráo trợn · 𥗁𥋽 trơ tráo · 打𥋽 đánh tráo
嘲	TRÀO	3		嘲諷 trào phúng · 自嘲 tự trào · 嘲弄 trào lộng
潮	trào	5		㳥潮 sóng trào · 高潮 cao trào · 退潮 thoái trào · 潮流 trào lưu · 風潮 phong trào
匧	tráp			丐匧 cái tráp · 匧楛 tráp gỗ
縶	trập			縶𢂎 trập dù · 㹥縶𦖻 chó trập tai
淖	trát			淖墻 trát tường
秩	TRẬT	5		秩序 trật tự · 秩加三級 trật gia tam cấp
秩	trật	5		秩餅 trật bánh · 秩㗚 trật lất · 秩傽 trật trưỡng · 秩咷 trật trệu · 秩茶秩傽 trật trà trật trưỡng
𢫵	trau			𢫵𢬗 trau dồi
𤛠（𬌥）	trâu	5		𤛠𤙭 trâu bò · 頭𤛠𩈘馭 đầu trâu mặt ngựa
𦺓	trầu	T		𣘃𦺓 cây trầu · 𦺓槔 trầu cau · 咹𦺓 ăn trầu
𥯌	tre	T		𣘃𥯌 cây tre · 𤅶𥯌 Bến Tre
𥘷	trẻ	2		𥘷𡮈 trẻ nhỏ · 𥘷中 trẻ trung · 𥘷𡥵 trẻ con
𩵾	trê			𩵜𩵾 cá trê
𬓐	trễ	T		𬓐𣇞 trễ giờ · 踸𬓐 chậm trễ
擲	trệch		⇔ 擲 chệch	
怗	trèm			憯怗 tròm trèm [𠸨]
𠹖	trẽn			𥗁𠹖 trơ trẽn
𨑗	trên	1		於𨑗 ở trên · 𨑗𡗶 trên trời
撩	treo	T		撩旗 treo cờ · 撩𬨠 treo lên · 𠦳斤撩𥾘𩯀 ngàn cân treo sợi tóc
𤽀	trẻo			𤽸𤽀 trắng trẻo
𨅹	trèo	T		蹽𨅹 leo trèo · 𨅹𣘃 trèo cây
𠿠	trep		𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục.	
𬿮	trệt			𡎦𬿮 ngồi trệt
嘹	trêu	T		嘹嘺 trêu ghẹo · 嘹𥇹 trêu ngươi · 嘹息 trêu tức · 嘹肝 trêu gan · 咋嘹 trớ trêu [𠸨]
咷	trệu			秩咷 trật trệu
知	TRI	4		先知 tiên tri · 知覺 tri giác · 知識 tri thức · 良知 lương tri
致	TRÍ	T		一致 nhất trí · 休致 hưu trí · 致力 trí lực · 致命 trí mạng
智	TRÍ	3		理智 lí trí · 才智 tài trí · 智𢖵 trí nhớ · 智力 trí lực
置	TRÍ	4		裝置 trang trí · 位置 vị trí · 布置 bố trí
池	TRÌ	T		城池 thành trì · 越池 Việt Trì
持	TRÌ	3		維持 duy trì · 主持 chủ trì · 保持 bảo trì · 堅持 kiên trì
馳	TRÌ	T		馳驅 trì khu · 馳名 trì danh
墀	TRÌ	T		丹墀 đan trì · 玉墀 ngọc trì
遲	TRÌ	T		遲緩 trì hoãn · 遲鈍 trì độn · 遲滯 trì trệ · 凌遲 lăng trì
治	TRỊ	1		政治 chính trị · 治安 trị an
值	TRỊ	T		價值 giá trị
治	trịa	1		圇治 tròn trịa [𠸨]
摘	TRÍCH	2		指摘 chỉ trích · 摘錄 trích lục
鰿	trích			𩵜鰿 cá trích
𪄸	trích			𪀄𪄸𡚝 chim trích cồ
展	TRIỂN	2		發展 phát triển · 展覽 triển lãm · 展望 triển vọng
𡎞	triêng			𡎞挭 triêng gánh · 𠊛𪂰𡎞 người Giẻ Triêng
哲	TRIẾT	2		哲學 triết học · 賢哲 hiền triết
蜇	triết	T		𡥵蜇 con triết · 𪘵蜇 răng triết
徹	TRIỆT	4		徹底 triệt để · 貫徹 quán triệt
撤	TRIỆT	4		撤銷 triệt tiêu
朝	TRIỀU	3		朝代 triều đại · 朝廷 triều đình · 天朝 thiên triều · 朝鮮 Triều Tiên
潮	TRIỀU	5		水潮 thuỷ triều · 海潮 hải triều
召	TRIỆU	T		召見 triệu kiến · 召集 triệu tập · 召回 triệu hồi
兆	TRIỆU	4		𠬠兆 một triệu · 兆徵 triệu chứng
趙	TRIỆU	T		婆趙 bà Triệu
貞	TRINH	T		貞白 trinh bạch · 貞女 trinh nữ · 貞原 trinh nguyên
偵	TRINH	T		偵探 trinh thám · 偵察 trinh sát
楨	TRINH	T		潘周楨 Phan Chu Trinh
呈	TRÌNH	2		呈排 trình bày · 遞呈 đệ trình
程	TRÌNH	1		程度 trình độ · 章程 chương trình · 重程 trùng trình · 規程 quy trình · 行程 hành trình
𠸩	trĩnh			圇𠸩 tròn trĩnh [𠸨]
鄭	TRỊNH	4		鄭重 trịnh trọng · 𣱆鄭 họ Trịnh
𥉭	trít			𥉭徠 trít lại · 𥄮𥉭 nhắm trít
𢩪	trìu	T		𢩪𢗔 trìu mến
徒	trò	2		學徒 học trò
𠻀	trò	2		𫜵𠻀 làm trò · 𠻀𨔈 trò chơi · 𡀯𠻀 chuyện trò
住	trọ	3		茹住 nhà trọ · 於住 ở trọ
徂	trồ			沉徂 trầm trồ
𥗁	trơ			𥗁𥋽 trơ tráo · 𥗁𠹖 trơ trẽn
阻	TRỞ	3		阻礙 trở ngại · 捍阻 cản trở · 仄阻 trắc trở
𠭤	trở	1		𠭤成 trở thành · 𠭤𧗱 trở về
咋	trớ			咋嘹 trớ trêu [𠸨]
助	TRỢ	2		互助 hỗ trợ · 助理 trợ lí · 救助 cứu trợ · 助力 trợ lực
𬴭	trọc			𠞟𬴭 cạo trọc · 𬴭頭 trọc đầu
繓	trói	T		繓𫃚 trói buộc · 扒姑繓榾 bắt cô trói cột [聲]
㵢	trôi	T		㵢浽 trôi nổi
鱩	trôi			𩵜鱩 cá trôi
𥫌	trỗi			𥫌𧻭 trỗi dậy
𨊚	trội	T		越𨊚 vượt trội
𡗶	trời	2		𡗶𡐙 trời đất · 意𡗶 ý trời · 𡗶佛 trời phật · 𡗶青 trời xanh
憯	tròm			憯怗 tròm trèm [𠸨]
𥌈	trộm	5		咹𥌈 ăn trộm · 仉𥌈 kẻ trộm · 𥌈擬哴 trộm nghĩ rằng
圇	tròn	4		𦝄圇 trăng tròn · 𤥑圇 vòng tròn · 𣃱圇 vuông tròn · 圇𠸩 tròn trĩnh [𠸨] · 圇治 tròn trịa [𠸨] · 圇陣 tròn trặn [𠸨]
𠓻	trọn	T		𠓻襘 trọn gói
遁	trốn	4		遁脫 trốn thoát · 遁𧴱 trốn nợ · 遁𠬉 trốn tránh
𢶿	trộn	5		搽𢶿 trà trộn [𠸨]
𣹗	trơn	T		紗𣹗 sa trơn
𥉲	trợn	5		𥉲圇 trợn tròn
沖	trong	3		沖令 trong lành · 𤏬沖 sáng trong · 沖𠁸 trong suốt · 𢭬濁𢵱沖 gạn đục khơi trong
𥪝	trong	1		𥪝外 trong ngoài · 𥪝茹 trong nhà
緟	tròng			緟𠓨 tròng vào
仲	TRỌNG	T		仲裁 trọng tài · 仲春 trọng xuân · 昆仲 côn trọng
重	TRỌNG	1		關重 quan trọng · 重要 trọng yếu · 重用 trọng dụng · 䀡重 xem trọng
喠	trọng			𠸂喠 nuốt trọng
矓（𥉫）	trông	4		矓䟻 trông chờ · 矓懞 trông mong
𤿰	trống	5		打𤿰 đánh trống · 鉦𤿰 chiêng trống · 𤿰𩚵 trống cơm · 𤿰更 trống canh
𥧪	trống	4		𥧪𱱇 trống trải · 𥧪咏 trống vắng
𪟤	trống	T		𪟤㜥 trống mái · 𪃿𪟤 gà trống
𣑺	trồng	4		𣑺𢫖 trồng trọt · 𣑺花 trồng hoa
倅	trót			𦀎倅 lượt trót · 倅𢯰 trót lọt · 倅𠻇 trót dại
𢫖	trọt			𠹾𢫖 chịu trọt
住	TRÚ	3		居住 cư trú · 住貫 trú quán · 住寓 trú ngụ · 住民 trú dân · 住𩄎 trú mưa · 住隱 trú ẩn
晝	TRÚ			晝夜 trú dạ
駐	TRÚ	T		駐軍 trú quân · 駐蹎 trú chân
擣（𢭏）	trù	T		擣殀 trù ẻo · 擣𡏽 trù dập
疇	TRÙ	T		範疇 phạm trù
籌（筹）	TRÙ	T		籌備 trù bị · 籌料 trù liệu · 預籌 dự trù · 籌併 trù tính
躊（踌）	TRÙ	T		躊躇 trù trừ
住	TRỤ	3		住所 trụ sở · 住持 trụ chì
宙	trụ	4		宇宙 vũ trụ
冑	TRỤ			甲冑 giáp trụ
柱	TRỤ	T		柱榾 trụ cột · 棱柱 lăng trụ · 形柱 hình trụ · 朱𠬠中隊柱徠抵打敌 cho một trung đội trụ lại để đánh địch
除	TRỪ	4		免除 miễn trừ · 剿除 tiễu trừ · 排除 bài trừ · 除非 trừ phi · 除去 trừ khử · 法除 phép trừ
儲	TRỪ	T		儲備 trừ bị
躇	TRỪ			躊躇 trù trừ
貯	TRỮ	3		貯量 trữ lượng · 預貯 dự trữ · 積貯 tích trữ
曥（𣆐）	trưa	5		班曥 ban trưa
竹	TRÚC	T		竹葉 trúc diệp
竺	TRÚC			天竺 Tiên Trúc
築	TRÚC	3		建築 kiến trúc · 構築 cấu trúc
逐	TRỤC	4		逐出 trục xuất · 驅逐 khu trục
軸	TRỤC	T		軸車 trục xe · 同軸 đồng trục
𢴊	trục	T		𣛠𢴊 máy trục · 竿𢴊 cần trục · 𢴊𣾼 trục vớt
直	TRỰC	2		直接 trực tiếp · 忠直 trung trực · 直覺 trực giác · 直言 trực ngôn · 直線 trực tuyến
值	TRỰC	T		值日 trực nhật
𰘾	trụi			𥗁𰘾 trơ trụi · 陳𰘾 trần trụi
追	TRUY	4		追及 truy cập · 追𨓡 truy lùng · 追尋 truy tìm · 追悼 truy điệu · 追封 truy phong
傳	TRUYỀN	1		傳說 truyền thuyết · 宣傳 tuyên truyền · 傳𠫾 truyền đi · 傳令 truyền lệnh
傳	TRUYỆN	1		外傳 ngoại truyện · 自傳 tự truyện · 傳翹 Truyện Kiều
𠆳	trùm	T		包𠆳 bao trùm · 翁𠆳 ông trùm
𧉙	trùn	T	⇔ 𧉙 giun	𡥵𧉙 con trùn
中	TRUNG	1		中部 trung bộ · 中心 trung tâm
忠	TRUNG	3		忠誠 trung thành · 忠孝 trung hiếu
中	TRÚNG	1		中計 trúng kế · 𢏑中 bắn trúng · 中意 trúng ý · 中毒 trúng độc · 中彈 trúng đạn · 中風 trúng phong · 中數 trúng số
重	TRÙNG	1		重疊 trùng điệp · 重逢 trùng phùng · 重程 trùng trình
蟲（虫）	TRÙNG	4		殺蟲 sát trùng · 昆蟲 côn trùng · 微蟲 vi trùng
徵	TRƯNG	3		特徵 đặc trưng · 象徵 tượng trưng · 徵兵 trưng binh · 徵求 trưng cầu
𥋔	trưng	T		𤏬𥋔 sáng trưng
喠	trửng		⇔ 喠 trọng	
𠨡	trứng	T		𠨡𪃿 trứng gà · 𠬠打𠨡 một tá trứng
澄	TRỪNG	3		澄清 trừng thanh
瞪	TRỪNG			瞪眜 trừng mắt
懲	TRỪNG	3		懲罰 trừng phạt
𠓀	trước	1		𠓀低 trước đây · 𠫾𠓀 đi trước · 𠓀𢖖󠄁 trước sau
𦚭	truồng	T		陳𦚭 trần truồng
張	TRƯƠNG	2		主張 chủ trương · 誇張 khoa trương · 緊張 khẩn trương · 張冊 trương sách · 張弓 trương cung · 張帆 trương buồm · 開張 khai trương
掌	trương			掌巡 trương tuần
脹	trương	5	⇔ 脹 chương	脹䏾 trương bụng · 脹膨 trương phềnh
賬	trương	T		賬目 trương mục · 賬簿 trương bộ
長	TRƯỞNG	1		部長 bộ trưởng · 長輩 trưởng bối · 長成 trưởng thành
帳	TRƯỚNG	T		幅帳 bức trướng · 幔帳 màn trướng
脹	TRƯỚNG	5		膨脹 bành trướng · 臌胀 cổ trướng
長	TRƯỜNG	1		所長 sở trường · 長期 trường kì · 長壽 trường thọ
場	TRƯỜNG	2		戰場 chiến trường · 會場 hội trường · 場學 trường học
腸	TRƯỜNG	T		斷腸 đoạn trường
傽	trưỡng			秩傽 trật trưỡng
丈	TRƯỢNG		單位𢵋 đơn vị đo	𠬠丈 một trượng
跌	trượt	T		跌冰 trượt băng · 跌雪 trượt tuyết
䢖	trút			䢖𠬃 trút bỏ · 䢖𬺗 trút xuống
𧊐	trút			𩷳𧊐 vảy trút
抽	TRỪU	T		抽象 trừu tượng
幽	U	T		幽暗 u ám · 幽𢞂 u buồn · 幽谷 u cốc · 吶幽㐵 nói u ơ
𡠄	u			偨𡠄 thầy u
䫜	u			𠚐䫜 mọc u
膒	ủ	T		膒癒 ủ rũ · 𬪁膒 ấp ủ · 膒粪 ủ phân
唹	ư	T		英尋碎固役唹？ Anh tìm tôi có việc ư?
𢮁	ừ			𩆢𢮁 ầm ừ
𢛨	ưa	T		𢛨適 ưa thích
鬱	UẤT	T		鬱結 uất kết · 鬱抑 uất ức · 鬱積 uất tích · 鬱恨 uất hận · 岑鬱 sầm uất · 鬱金香 uất kim hương
澳	ÚC			盛旺終澳 Thịnh vượng chung Úc
䐿	úc			𦚖䐿𠴐 mập úc núc
𩼈	úc			𩵜𩼈 cá úc
抑	ỨC	T		抑制 ức chế · 鬱抑 uất ức · 𤋾抑 ấm ức
憶	ỨC	5		回憶 hồi ức · 記憶 kí ức
臆	ỨC	T		𩩫臆 xương ức · 臆斷 ức đoán · 臆說 ức thuyết
慰	ủi	5		安慰 an ủi
熨	ủi	T		𣛠熨 máy ủi · 熨𡐙 ủi đất · 盤熨 bàn ủi
喂	úi	T		喂嗏 ối chà [嘆]
威	UY	3		威力 uy lực · 權威 quyền uy · 威名 uy danh · 威嚴 uy nghiêm · 軍威 quân uy · 示威 thị uy
委	UỶ	3		委班 uỷ ban · 委員 uỷ viên · 委任 uỷ nhiệm · 黨委 đảng uỷ · 委托 uỷ thác
尉	UÝ	T		大尉 đại uý
慰	UÝ	5		慰勞 uý lạo
淵	UYÊN	T		淵深 uyên thâm · 淵博 uyên bác
鴛	UYÊN			鴛鴦 uyên ương
苑	UYỂN			御苑 ngự uyển
婉	UYỂN	T		婉轉 uyển chuyển
𠽛	um			𠽛𥳍 um tùm
熅	un			熅𤌋 un khói
搵	ùn			搵搵 ùn ùn
雍	UNG	T		雍容 ung dung
癰	UNG	5		癰疽 ung thư · 癰𤷿 ung nhọt · 𠨡𪃿癰 trứng gà ung
擁	ỦNG	4		擁護 ủng hộ
臃	ỦNG	T		臃腫 ủng sũng · 柑臃 cam ủng
𩍓	ủng			隻𩍓 chiếc ủng
應	ƯNG	1		應意 ưng ý · 不應 bất ưng · 應順 ưng thuận
鷹	ƯNG			𪀄鷹 chim ưng
應	ỨNG	1		反應 phản ứng · 適應 thích ứng · 應答 ứng đáp · 應付 ứng phó
應	ứng	1		碎應朱舅饒妬𠓀 tôi ứng cho cậu nhiêu đó tiền trước
㣿	ước	3		㣿呦 ước ao · 㣿懞 ước mong
約	ƯỚC	4		約定 ước định · 條約 điều ước · 約數 ước số
湆	ươm			湆絲 ươm tơ · 湆𥞖 ươm giống
捥	uốn	T		捥𫅤 uốn lượn
㕵	uống	3		㕵𣷱 uống sữa · 㕵茶 uống trà
央	ƯƠNG	4		中央 trung ương
怏	ương	T		椳怏 ổi ương · 怏𡁎 ương dở · 怏厄 ương ách
殃	ƯƠNG	T		災殃 tai ương
秧	ƯƠNG	T		秧𣘃 ương cây · 秧𩵜 ương cá
𫊬	ương			𡥵朠𫊬 con ễnh ương
鴦	ƯƠNG			鴛鴦 uyên ương
㲸	ướt	T		㲸遏 ướt át · 𤀔㲸 ẩm ướt
挹	úp			挹𬺗 úp xuống · 打挹 đánh úp
𠃝	út	T		𡥵𠃝 con út · 㛪𠃝 em út
憂	ƯU	4		憂煩 ưu phiền · 分憂 phân ưu · 憂愁 ưu sầu
優	ƯU	3		優先 ưu tiên · 優勢 ưu thế · 優待 ưu đãi · 優秀 ưu tú
撝	va	5		撝𪮻 va chạm
𠇕	va			𠇕兜耒？ Va đâu rồi?
橎	vả			𣘃橎 cây vả
𡲤	vả	3		𡲤徠 vả lại · 𡲤𠰘 vả miệng
𦀪	vá	T		裙𦀪襠 quần vá đũng · 𦀪𬗠 vá víu
吧	và	1		㛪吧碎 em và tôi · 頭吧蹎𢬣 đầu và chân tay
𢯓	và	T		𢯓𩚵 và cơm · 𧣕𢯓 tù và
𬏓	và	T		𠬠𬏓 một và
浘	vã	T		浘𣳡洃 vã mồ hôi · 浘𫇿 vã thuốc
𠳿	vã	T		咹𠳿 ăn vã · 𠳚𠳿 cãi vã
𨁱	vã	T		𢪱𨁱 vật vã · 𫏚𨁱 vội vã [𠸨]
𠽢	vác	5		扑𠽢 bốc vác
壁	vách	T		擦壁 sát vách · 茹連壁 nhà liền vách
㩇	vạch	T		㩇陳 vạch trần · 碼㩇 mã vạch · 𢩫㩇 kẻ vạch
𦠘（𦠘󠄁）	vai	2		𠁔𦠘 sánh vai · 𦠘髀 vai vế
梶	vải			𣘃梶 cây vải
𡲫	vải	T		𡲫𥾘 vải sợi · 𥿍𡲫 khổ vải
𠄧	vài	3		𠬠𠄧 một vài · 𠄧𠀧 vài ba
娓	vãi			𪧸娓 sãi vãi
𫵞	vãi			𢶻𫵞 vung vãi
𢠿	vay			𢠿𢚸 vay lòng
䞈	vay	T		䞈錢 vay tiền · 䞈摱 vay mượn · 朱䞈 cho vay
𩷳	vảy			𩷳𩵜 vảy cá · 𩷳𧊐 vảy trút
荱	váy			𣘃荱 cây váy
𧚟	váy			丐𧚟 cái váy · 𬡶𧚟 mặc váy
圍（𡆫）	vây	4		包圍 bao vây · 棋圍 cờ vây · 圍𨒺 vây quanh
𩻟	vây			𩻟𩵜 vây cá
丕	vầy	1	⇔ 丕 vậy	
𢯷	vầy			𢝙𢯷 vui vầy
捤	vẫy	T		捤𢬣 vẫy tay · 捤摓 vẫy vùng
丕	vậy	1		如丕 như vậy · 爲丕 vì vậy
𦡣	vạm			𦡣𥒮 vạm vỡ
𠢝	vâm			劸如𠢝 khoẻ như vâm
𠹚	van	T		𠹚吀 van xin · 𠹚奈 van nài · 𠹚心 van tim [譯] · 𠹚綀 van-xơ [譯] · 車𠹚 xe van [譯]
板	ván	T		𬌓板 tấm ván
萬（万）	vàn	4		𨷈萬 muôn vàn · 無萬 vô vàn
挽	VÃN	T		嘆挽 than vãn · 愁挽 ai vãn · 救挽 cứu vãn · 喝挽 hát vãn
晚	VÃN	T		晚𣈜 vãn ngày · 晚役 vãn việc · 晚年 vãn niên · 𬋱晚 ve vãn [𠸨]
伴	vạn	2		伴䊷 vạn chài
萬（万）	VẠN	4		萬事 vạn sự · 萬物 vạn vật · 萬一 vạn nhất · 萬歲 vạn tuế
文	VĂN	1		文章 văn chương · 人文 nhân văn · 句文 câu văn
紋	VĂN	5		花紋 hoa văn
聞	VĂN	T		新聞 tân văn
𬑰	vắn	T		𬑰𤎕 vắn tắt
彣	vằn	T		馭彣 ngựa vằn · 彣綄 vằn vện
雲	vằn	5		雲吞 vằn thắn [譯]
云	VÂN	5		云云 vân vân
紋	vân	5		𫄎紋 lụa vân · 紋𢬣 vân tay · 楛𬅀固紋惵 gỗ lát có vân đẹp
紜	VÂN	T		紛紜 phân vân
雲	VÂN	5		雲杉 vân sam · 雲霞 vân hà
𪷦	vẩn	T		𪷦濁 vẩn đục · 𪷦噅 vẩn vơ
問	VẤN	1		問題 vấn đề · 學問 học vấn · 問安 vấn an · 審問 thẩm vấn
𦄞	vấn	T		𦄞𥿁 vấn vương · 𦄞𩯀 vấn tóc
運	vần	1		搓運 xoay vần
韻	vần	T		打韻 đánh vần · 協韻 hiệp vần
刎	VẪN	T		自刎 tự vẫn
吻	vẫn	1		吻𡀳 vẫn còn · 吻𣗓 vẫn chưa
絆	vận	T		絆裙 vận quần
運	VẬN	1		運動 vận động · 運載 vận tả · 運數 vận số
韻	VẬN	T		音韻 âm vận · 韻母 vận mẫu · 風韻 phong vận
㘇（𱓲）	vang	T		㘇淩 vang lừng · 㘇㗂 tiếng vang · 音㘇 âm vang · 𨤔㘇 vẻ vang
𣞁（㮠）	vang	T		𣘃𣞁 cây vang · 𨢇𣞁 rượu vang [譯]
𠗤	váng			𠗤油 váng dầu · 𠗤𣷱 váng sữa
𤷮	váng	T		𤶜𤷮 choáng váng
𠾛	vàng	5		𫏚𠾛 vội vàng [𠸨] · 凭𠾛 vững vàng [𠸨] · 㽳𠾛 võ vàng [𠸨]
鐄	vàng	5		鐄鶯 vàng anh · 鐄蘿 vàng lá · 鐄心 vàng tâm
挷	văng	T		橋挷 cầu văng · 挷𠚢 văng ra
咏	vắng	3		咏悄 vắng teo · 咏𩈘 vắng mặt · 𥧪咏 trống vắng · 賒咏 xa vắng
𠳐	vâng	T		㖡𠳐 dạ vâng
𮛕	vánh			𫏢𮛕 chóng vánh
𠓨	vào	1		信𠓨 tin vào · 澦𠓨 dựa vào
叭	váp			𰸣叭 vấp váp [𠸨]
𰸣	vấp			𰸣叭 vấp váp [𠸨]
仈	vát			𧼋仈 chạy vát · 𤯩仈 sống vát · 𢳥仈 tháo vát
𥾸	vắt	5		𥾸擻 vắt sổ · 𥾸𣷱 sữa · 沖𥾸 trong vắt · 𥾸𢬣𬨠𩑰 vắt tay lên trán
𧉚	vắt			𧉚㹥 vắt chó
伆	vặt	T		𠇁伆 dằn vặt
沕	vất	4		沕𬨠 vất lên · 沕彷 vất vưởng
物	VẬT	2		信物 tín vật · 植物 thực vật · 畜物 súc vật
𢪱	vật	T		𢪱𪵅 vật lộn · 𢪱𨁟 vật ngã
𤓺	vấu			𤘓𤓺 nanh vấu
蟡	ve	T		蟡𣜷 ve sầu · 𡥵蟡 con ve · 𨉟𤷍殼蟡 mình gầy xác ve · 蟡襖 ve áo
𡐮	ve	T		𡐮𫇿𧹻 ve thuốc đỏ [譯] · 𡐮𨢇 ve rượu [譯]
𬋱	ve	T		𤢇𬋱 vuốt ve [𠸨] · 青𬋱 xanh ve [譯]
𨤔	vẻ	2		𠍵𨤔 dáng vẻ · 𨤔㘇 vẻ vang · 𢝙𨤔 vui vẻ [𠸨]
𥿯	vé	T		𥿯劇 vé kịch · 檢𥿯 kiểm vé · 𥿯去回 vé khứ hồi
𦘧（𡳒）	vẽ	4		𦘧幀 vẽ tranh · 𦘧樸 vẽ phác · 門𦘧 môn vẽ · 𦘧渭 vẽ vời · 𦘧形 vẽ hình
髀	vế	T		𦠘髀 vai vế
𧗱	về	1		𠭤𧗱 trở về · 𧗱茹 về nhà
衛	VỆ	1		保衛 bảo vệ · 衛生 vệ sinh · 衛星 vệ tinh · 衛塘 vệ đường
辟	vếch			辟𨑗 vếch lên
㩇	vệch	T	⇔ 㩇 vạch	
䗊	vẹm			𡥵䗊 con vẹm
邊（边）	ven	2		邊瀧 ven sông · 邊㴜 ven biển
捖	vẹn	T		捖全 vẹn toàn · 𠓻捖 trọn vẹn · 原捖 nguyên vẹn · 㖹捖 vỏn vẹn
綄	vện			彣綄 vằn vện
儝（儝󠄁）	vênh			佂儝 chênh vênh
㧼	véo			㧨㧼 cấu véo
𣍅	vẹo			𣍅鶩 vẹo vọ [𠸨]
𠵽	vep		𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục.	
𢪏	vét	T		噅𢪏 vơ vét
樾	vẹt			𡹃樾 rừng vẹt
𪇴	vẹt			𪀄𪇴 chim vẹt
𢵼	vẹt	T		𩌂𢵼𨃴 giầy vẹt gót · 𤷱𢵼 mòn vẹt
𤵖	vết	4		𤵖跡 vết tích · 𤵖傷 vết thương
喡	vi			叫喡𭇹 kêu vi vu [聲]
圍（𡆫）	VI	4		範圍 phạm vi · 周圍 chu vi
爲	VI	1		行爲 hành vi
微	VI	4		精微 tinh vi · 微波 vi ba · 微蓴 vi-rút [譯] · 微生物 vi sinh vật
違	VI	4		違犯 vi phạm
幃	ví			丐幃 cái ví
譬	ví	4		譬喻 ví dụ · 譬如 ví như
位	vì	2		治位 trị vì · 𠬠位將才 một vì tướng tài
爲	vì	1		在爲 tại vì · 𤳷爲 bởi vì
尾	VĨ	T		鳶尾 diên vĩ · 鳳尾 phượng vĩ
偉	VĨ	4		偉大 vĩ đại · 雄偉 hùng vĩ · 偉模 vĩ mô
緯	VĨ	T		緯度 vĩ độ · 緯線 vĩ tuyến
未	VỊ	4		未成年 vị thành niên
位	VỊ	2		位置 vị trí · 位勢 vị thế · 學位 học vị
味	VỊ	3		味𤮾 vị ngọt · 味味 mùi vị · 加味 gia vị · 趣味 thú vị · 無味 vô vị
