# 常用标准汉喃字表（2024年版）表2
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20300623.pdf
# 表2共3174字（表1分6级共3975字，两表合计7149字）
#
# 𡨸漢喃	音讀	譬喻	𥱬註

𡨸漢喃	音讀	譬喻	𥱬註
猉	cầy	𬚸猉 thịt cầy · 猉香 cầy hương · 假猉 giả cầy	U+7309
𢚁	cậy	矓𢚁 trông cậy · 信𢚁 tin cậy	U+22681
𪴗	cậy	𣘃𪴗 cây cậy	U+2AD17
敢	CẢM	勇敢 dũng cảm	U+6562
詌	càm	詌諃 càm ràm	U+8A4C
𣔋	căm	𣔋車踏 căm xe đạp	U+2350B
肣	cằm	丐肣 cái cằm · 歛肣 lẹm cằm ·肣𣃱 cằm vuông · 𩯁肣 râu cằm	U+80A3
幹	CÁN	幹部 cán bộ · 骨幹 cốt cán · 敏幹 mẫn cán	U+5E79
乾	CÀN	乾坤 càn khôn	U+4E7E
乾	KIỀN	乾坤 kiền khôn	
𣷯	cặn	𣷯粑 cặn bã · 𣷯𠴜 cặn kẽ	U+23DEF
䌍	cẩn	𣘊物䌍硨磲 đồ vật cẩn xà cừ	U+430D
艮	CẤN	卦艮 quái Cấn	U+826E
泿	cấn	泿渃 cấn nước	U+6CFF
硍	cấn	硍蹎 cấn chân · 垓硍 gay cấn	U+784D
豤	cấn	𤞼豤 lợn cấn	U+8C64
𫆥	cáng	𫆥當 cáng đáng	U+2B1A5
𢫮	căng	𢫮𣦎 căng thẳng · 𢫮絏 căng dây · 𢫮𣷱 căng sữa	U+22AEE
𨀿	cẳng	𨀿蹎 cẳng chân · 𨀿𧦕 cẳng ghế · 𢮩𨀿𧼋 co cẳng chạy	U+2803F
庚	CANH	庚子 Canh Tí · 庚寅 Canh Dần	U+5E9A
𥓷	canh	叫𥓷𥓷 kêu canh canh [聲]	U+254F7
綆	canh	綆絲黹𡲫 canh tơ chỉ vải	U+7D86
鐛	cảnh	鐎鐛 tiu cảnh	U+941B
稿	CẢO	稿論 cảo luận · 稿葬 cảo táng ·遺稿 di cảo · 稿𦹳 cảo thơm	U+7A3F
縞	CẢO	縞服 cảo phục	U+7E1E
𠞟	cạo	刀𠞟 dao cạo	U+2079F
𠳖	cạp	咜𠳖 xà cạp	U+20CD6
𫊩	cạp	𧌂𫊩 bọ cạp	U+2B2A9
𫊩	cáp	虎𫊩 Hổ Cáp	⇔ 𫊩 cạp
芨	CẬP	白芨 bạch cập	U+82A8
桔	CÁT	桔梗 cát cánh	U+6854
桔	quýt	桔糖 quýt đường	
𪁄	cắt	𪀄𪁄 chim cắt	U+2A044
吃	CẬT	吃力 cật lực	U+5403
吃	khật	吃啹 khật khừ · 吃𢓋 khật khưỡng	
𦛋	cật	果𦛋 quả cật · 𦛋𥯌 cật tre	U+266CB
皐	cau	皐𣮮 cau mày	U+7690
垢	cáu	垢𡑪 cáu ghét	U+57A2
㤧	cáu	㤧噶 cáu gắt	U+3927
𧧷	càu	𧧷𦈂 càu nhàu	U+279F7
駒	CÂU	𨀒駒 vó câu	U+99D2
狗	CẨU	海狗 hải cẩu · 靈狗 linh cẩu	U+72D7
枸	CẨU	枸杞 cẩu kỉ	U+67B8
𫽚	cẩu	𫽚行 cẩu hàng · 竿𫽚 cần cẩu	U+2BF5A
逅	CẤU	邂逅 giải cấu	U+9005
𢮭	cọ	𠳚𢮭 cãi cọ · 𢮭嚓 cọ xát	U+22BAD
椇	cọ	𣘃椇 cây cọ	U+6907
賈	CỔ	賈害 cổ hại	U+8CC8
臌	CỔ	臌脹 cổ trướng	U+81CC
𡚝	cồ	大𡚝越 Đại Cồ Việt · 𪀄𪄸𡚝 chim trích cồ	U+2169D
鈷	cỗ	鈷炮 cỗ pháo · 鈷排 cỗ bài	U+9237
𩚩	cỗ	鎫𩚩 mâm cỗ · 𩚩𢚸 cỗ lòng · 𩚩盤 cỗ bàn	U+296A9
𨍄	cộ	車𨍄 xe cộ	U+28344
肌	CƠ	肌𣔟 cơ bắp · 𢮩肌 co cơ · 肌體 cơ thể	U+808C
𧋉	cóc	𡥵𧋉 con cóc	U+272C9
𫈅	cóc	果𫈅 quả cóc	U+2B205
𣌶	cọc	𣌶𣌶 còng cọc [𠸨]	U+23336
𣌶	còng	𣌶𨉞 còng lưng · 丐𣌶 cái còng · 𣌶𢬣 còng tay	
梮	cọc	㨂梮 đóng cọc · 撻梮 đặt cọc · 𩲡梮 còi cọc	U+68AE
梮	còng	梮梮 còng cọc [𠸨]	⇔ 梮 cọc
𤭏	cốc	𤭏𠹾𤎏 cốc chịu nóng	U+24B4F
鵒	cốc	𡥵鵒 con cốc	U+9D52
侷	cộc	裙侷 quần cộc · 侷椂 cộc lốc ·侷𣝀 cộc cằn · 𭊛侷 lộc cộc [聲]	U+4FB7
