# 澳門增補字符集（Macao Supplementary Character Set (MSCS), 2022）
# 备注：《澳門增補字符集–2022》共包括443個字符，其中漢字427個，符號16個，相比《澳門增補字符集–2020》新增收的字符共有1個。
# 整理自 http://code.web.idv.hk/miscs/miscs.php?i=1
# char	IDS	Unicode	MSCS	舊MAC序號	備註

帯	⿳丗冖巾	U+5E2F	MD-5E2F		
录	⿱彐水	U+5F55-E0102	MD-5F55		註冊IVS所需的基本字
彠	⿰尋蒦	U+5F60	MD-5F60		
彦	⿸产彡	U+5F66	MD-5F66		
徳	⿰彳⿳十罒心	U+5FB3	MD-5FB3		
惪	⿱直心	U+60EA	MD-60EA		
戦	⿰単戈	U+6226	MD-6226		
扅	⿸戶多	U+6245	MD-6245		
掦	⿰扌易	U+63A6	MD-63A6		
旾	⿱屯日	U+65FE	MD-65FE		
晆	⿰日圭	U+6646	MD-6646		
暁	⿰日尭	U+6681	MD-6681		
曟	⿱晶辰	U+66DF	MD-66DF		
曺	⿱亩日	U+66FA	MD-66FA		
曽	⿱𬎿日	U+66FD	MD-66FD		
枊	⿰木卬	U+678A	MD-678A		
枼	⿱世木	U+67BC	MD-67BC		
査	⿱木且	U+67FB	MD-67FB		
栿	⿰木伏	U+683F	MD-683F		
楽	⿱⿴⿱丷八白木	U+697D	MD-697D		
沗	⿱天水	U+6C97	MD-6C97	MAC-00130	人名，身份證明局
淎	⿰氵奉	U+6DCE-E0101	MD-6DCE		註冊IVS所需的基本字
淸	⿰氵靑	U+6DF8	MD-6DF8		
満	⿰氵⿱艹両	U+6E80	MD-6E80		
灎	⿰澧盍	U+704E	MD-704E		
煕	⿱巸灬	U+7155	MD-7155		
熮	⿰火翏	U+71AE-E0101	MD-71AE		註冊IVS所需的基本字
熻	⿰火翕	U+71BB-E0100	MD-71BB		註冊IVS所需的基本字
爲	爲	U+7232	MD-7232		
犾	⿰犭犬	U+72BE	MD-72BE		
狓	⿰犭皮	U+72D3	MD-72D3		
玍	⿸丿王	U+738D	MD-738D		
玙	⿰王与	U+7399	MD-7399		
珁	⿰王瓦	U+73C1	MD-73C1		
瓇	⿰王憂	U+74C7	MD-74C7		
畵	⿱⿱𦘒一⿶凵田	U+7575	MD-7575		
皟	⿰白責	U+769F	MD-769F		簡體：𤾀
眀	⿰目月	U+7700	MD-7700		
